Número,Serie
1,Alfred Hitchcock presenta
2,Alf
3,Alvin y las ardillas
4,Apartamento para tres
5,Autopista hacia el cielo
6,Banner y Flappi
7,Blossom
8,Bonanza
9,Campeones
10,Candy Candy
11,Canción Triste de Hill Street
12,Chicho Terremoto
13,Cheers
14,Comando G
15,Corrupción en Miami
16,Cosas de casa
17,Curro Jiménez
18,Daniel el travieso
19,Dartacan y los tres mosqueperros
20,David el Gnomo
21,Dinastía
22,Doctor en Alaska
23,Don Quijote de la Mancha
24,Dragones y mazmorras
25,El Coche Fantástico
26,El Correcaminos
27,El Equipo A
28,El Gran Héroe americano
29,El Inspector Gadget
30,El Osito Misha
31,El Pájaro Loco
32,El show de Benny Hill
33,Embrujada
34,Entrenador
35,Erase una vez el hombre
36,Erase una vez la vida
37,Expediente X
38,Falcon Crest
39,Fama
40,Fraggel Rock
41,Fútbol en acción
42,Heidi
43,Isidoro
44,Jackie y Nuka
45,Juzgado de Guardia
46,Kung Fu
47,La Abeja Maya
48,La aldea del arce
49,La casa de la pradera
50,La llamada de los Gnomos
51,La ley de los Ángeles
52,La Pantera Rosa
53,La tribu de los Brady
54,La vuelta al mundo de Willy Fog
55,Las chicas de oro
56,Aquellos maravillosos años
57,Los Ángeles de Charlie
58,Los aurones
59,Los Caballeros del Zodiaco
60,Los diminutos
61,Los hombres de Harrelson
62,Los Monster
63,Los Pequeñecos
64,Los picapiedras
65,Los Pitufos
66,Los problemas crecen
67,Los Simpson
68,Los Trotamúsicos
69,Los vigilantes de la playa
70,Lucky Luck
71,Luz de luna
72,Lou Grant
73,Macgiver
74,Marco
75,matrimonio con Hijos
76,Mazinger Z
77,Misión imposible
78,Noeli
79,Norte y Sur
80,Padres forzosos
81,Pippi Calzaslargas
82,Popeye
83,Power Ranger
84,Primos lejanos
85,Pumuky
86,Punky Brewster
87,Remington Steele
88,Salvados por la campana
89,Se ha escrito un crimen
90,Sensación de vivir
91,Sherlock Holmes
92,Starsky y Hutch
93,Starman
94,Super Mario Bros
95,Twin Peaks
96,ulises 31
97,V
98,Vacaciones en el mar
99,Verano Azul
100,Vicky el Vikingo
